"","Champion","Espanola","Gardner","Isabela","Marchena","Rabida","SanCristobal","Santiago","StCruz"
"Champion",0,73,14.5,66.5,168,96.5,90.5,104,51
"Espanola",73,0,64.5,136,200.5,153,47,149,91
"Gardner",14.5,64.5,0,80,180.5,111,92,117.5,63
"Isabela",66.5,136,80,0,93.5,26,129.5,19,28
"Marchena",168,200.5,180.5,93.5,0,81,163,57,88
"Rabida",96.5,153,111,26,81,0,132,7,26.5
"SanCristobal",90.5,47,92,129.5,163,132,0,126.5,72
"Santiago",104,149,117.5,19,57,7,126.5,0,21
"StCruz",51,91,63,28,88,26.5,72,21,0
